District,Latitude,Longitude,Month,Month1,Year,Monthly_cases,X21,X22,X23,X24,X25,X26,X27,X28,X29,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,,,,,,,,,,
Narsingdi,25.6279,88.6332,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.18,485.51,2314889,18.2,73.69,1.2,4.04,99,203.710232,1519.261651,0.90 ,5.5,52,1167.789178,76.96022627,824.2194475,,,,,,,,,,
Natore,25.6279,88.6332,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.11,485.51,1774832,18.2,73.69,1.2,4,99,156.185216,1164.822242,0.90 ,5.5,52,1904.364965,125.5024121,1344.090757,,,,,,,,,,
Netrokona,23.5424,89.6309,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.36,485.51,2317190,18.2,73.69,1.2,4.39,99,203.91272,1520.771797,0.90 ,5.5,52,2804.365101,184.814671,1979.306109,,,,,,,,,,
Nilphamari,23.5424,89.6309,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.93,485.51,1907497,18.2,73.69,1.2,4.1,99,167.859736,1251.890281,0.90 ,5.5,52,1587.900399,104.646606,1120.731734,,,,,,,,,,
Noakhali,23.5424,89.6309,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,101.28,485.51,3231832,18.2,73.69,1.2,4.64,99,284.401216,2121.051342,0.90 ,5.5,52,2678.48487,176.5188491,1890.460506,,,,,,,,,,
Pabna,22.9409,91.4067,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.4,485.51,2624683,18.2,73.69,1.2,4,99,230.972104,1722.579453,0.90 ,5.5,52,2389.393133,157.4669809,1686.421081,,,,,,,,,,
Panchagarh,22.9409,91.4067,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.19,485.51,1026139,18.2,73.69,1.2,4.1,99,90.300232,673.4550257,0.90 ,5.5,52,1363.120548,89.8330519,962.0832992,,,,,,,,,,
Patuakhali,22.9409,91.4067,February,2,2022,3,22.13,15.62,29.61,54.73,2.29,101.04,485.51,1596223,18.2,73.69,1.2,4.38,99,140.467624,1047.601155,0.90 ,5.5,52,2617.407817,172.4937186,1847.352643,,,,,,,,,,
Pirojpur,25.3297,89.543,February,2,2022,1,17.99,11.76,25.38,70.2,0.31,100.64,485.51,1157215,18.2,73.69,1.2,4.38,99,101.83492,759.4802045,0.90 ,5.5,52,1269.846388,83.68605154,896.2508884,,,,,,,,,,
Rajbari,25.3297,89.543,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.51,485.51,1091263,18.2,73.69,1.2,4.04,99,96.031144,716.1959069,0.90 ,5.5,52,1139.236341,75.07852297,804.067006,,,,,,,,,,
Rajshahi,25.3297,89.543,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,100.11,485.51,2699688,18.2,73.69,1.2,4,99,237.572544,1771.805234,0.90 ,5.5,52,2438.427587,160.698474,1721.02934,,,,,,,,,,
Rangamati,24.0958,90.4125,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.18,485.51,620215,18.2,73.69,1.2,4.64,99,54.57892,407.0471045,0.90 ,5.5,52,5762.959417,379.7934328,4067.466385,,,,,,,,,,
Rangpur,24.0958,90.4125,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.11,485.51,2996334,18.2,73.69,1.2,4.1,99,263.677392,1966.494004,0.90 ,5.5,52,2343.984755,154.4744553,1654.372087,,,,,,,,,,
Satkhira,24.0958,90.4125,February,2,2022,2,22.13,15.62,29.61,54.73,2.29,100.36,485.51,1201464,18.2,73.69,1.2,4.04,99,105.728832,788.5208232,0.90 ,5.5,52,3390.40283,223.4360225,2392.92845,,,,,,,,,,
Shariatpur,23.0488,89.8879,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,100.93,485.51,2063610,18.2,73.69,1.2,4.04,99,181.59768,1354.347243,0.90 ,5.5,52,1186.196087,78.17328758,837.2109468,,,,,,,,,,
Sherpur,23.0488,89.8879,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.28,485.51,1412601,18.2,73.69,1.2,4.39,99,124.308888,927.0900363,0.90 ,5.5,52,1326.036532,87.38912251,935.9095959,,,,,,,,,,
Sirajganj,23.0488,89.8879,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,101.4,485.51,3220812,18.2,73.69,1.2,4,99,283.431456,2113.818916,0.90 ,5.5,52,2494.301919,164.3807322,1760.465149,,,,,,,,,,
Sunamganj,24.4771,91.4507,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.36,460.2,2564540,18.7,74.66,1,5.25,99,225.67952,1683.107602,0.90 ,5.5,52,3693.58372,243.416401,2606.911924,,,,,,,,,,
Sylhet,24.4771,91.4507,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.43,485.51,3567139,18.2,73.69,1.2,5.25,99,313.908232,2341.113326,0.90 ,5.5,52,3417.924658,225.2497797,2412.353211,,,,,,,,,,
Tangail,24.4771,91.4507,February,2,2022,0,22.13,15.62,29.61,54.73,2.29,101.43,485.51,3749086,18.2,73.69,1.2,4.04,99,329.919568,2460.525142,0.90 ,5.5,52,3366.374057,221.8524662,2375.969068,,,,,,,,,,
Thakurgaon,25.0831,89.7853,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.2,460.2,1444783,18.7,74.66,1,4.1,99,127.140904,948.2110829,0.90 ,5.5,52,1814.206041,119.5607136,1280.457063,,,,,,,,,,
Bagerhat,22.6602,89.7895,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.4,485.51,1534012,18.2,73.69,1.2,4.04,99,134.993056,1006.772076,0.90 ,5.5,52,3646.18417,240.2926522,2573.457572,,,,,,,,,,
Bandarban,22.6602,89.7895,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.19,485.51,404091,18.2,73.69,1.2,4.64,99,35.560008,265.2049233,0.90 ,5.5,52,4595.260113,302.8391295,3243.310371,,,,,,,,,,
Barguna,22.6602,89.7895,March,3,2022,4,26.19,20.17,32.91,56.52,4.21,101.04,485.51,927889,18.2,73.69,1.2,4.38,99,81.654232,608.9735507,0.90 ,5.5,52,1345.650521,88.68173341,949.7530459,,,,,,,,,,
Barishal,21.8311,92.3686,March,3,2022,4,17.99,11.76,25.38,70.2,0.31,100.64,485.51,2414729,18.2,73.69,1.2,4.38,99,212.496152,1584.786643,0.90 ,5.5,52,2219.580861,146.2759276,1566.568474,,,,,,,,,,
Bhola,21.8311,92.3686,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.51,485.51,1846351,18.2,73.69,1.2,4.38,99,162.478888,1211.760161,0.90 ,5.5,52,1948.543739,128.4139037,1375.271902,,,,,,,,,,
Bogura,21.8311,92.3686,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.11,485.51,3539293,18.2,73.69,1.2,4,99,311.457784,2322.837996,0.90 ,5.5,52,2912.594162,191.9472367,2055.69361,,,,,,,,,,
Brahmanbaria,23.7073,90.4155,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.18,485.51,2953208,18.2,73.69,1.2,4.64,99,259.882304,1938.19041,0.90 ,5.5,52,1922.681908,126.7095444,1357.018758,,,,,,,,,,
Chandpur,23.7073,90.4155,March,3,2022,3,22.13,15.62,29.61,54.73,2.29,100.11,485.51,2513838,18.2,73.69,1.2,4.64,99,221.217744,1649.831879,0.90 ,5.5,52,1469.437035,96.83957418,1037.120915,,,,,,,,,,
Chapai Nawabganj,23.7073,90.4155,March,3,2022,1,26.19,20.17,32.91,56.52,4.21,100.36,485.51,1714249,18.2,73.69,1.2,4,99,150.853912,1125.061619,0.90 ,5.5,52,1685.473879,111.0769423,1189.598582,,,,,,,,,,
Chattogram,22.7004,90.375,March,3,2022,12,17.99,11.76,25.38,70.2,0.31,100.93,485.51,7913366,18.2,73.69,1.2,4.64,99,696.376208,5193.542106,0.90 ,5.5,52,4450.859261,293.3227523,3141.39301,,,,,,,,,,
Chuadanga,22.7004,90.375,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.28,485.51,1174836,18.2,73.69,1.2,4.04,99,103.385568,771.0448668,0.90 ,5.5,52,1165.101675,76.78311311,822.322622,,,,,,,,,,
Cox's Bazar,22.7004,90.375,March,3,2022,43,26.19,20.17,32.91,56.52,4.21,101.4,485.51,5602624,18.2,73.69,1.2,4.64,99,493.030912,3677.002131,0.90 ,5.5,52,2172.97806,143.2046866,1533.676463,,,,,,,,,,
Cumilla,22.1785,90.7101,March,3,2022,1,17.99,11.76,25.38,70.2,0.31,101.36,460.2,2381814,18.7,74.66,1,4.64,99,209.599632,1563.184528,0.90 ,5.5,52,3088.030481,203.5089287,2179.515639,,,,,,,,,,
Dhaka,22.1785,90.7101,March,3,2022,80,22.13,15.62,29.61,54.73,2.29,101.43,485.51,12517360,18.2,73.69,1.2,4.04,99,1101.52768,8215.143368,0.90 ,5.5,52,1476.081489,97.27746032,1041.810536,,,,,,,,,,
Dinajpur,22.1785,90.7101,March,3,2022,2,26.19,20.17,32.91,56.52,4.21,101.43,485.51,3109626,18.2,73.69,1.2,4.1,99,273.647088,2040.847544,0.90 ,5.5,52,3460.164551,228.0334943,2442.165905,,,,,,,,,,
Faridpur,24.851,89.3697,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.2,460.2,1988695,18.7,74.66,1,4.04,99,175.00516,1305.180529,0.90 ,5.5,52,2043.68922,134.6842288,1442.425082,,,,,,,,,,
Feni,24.851,89.3697,March,3,2022,2,22.13,15.62,29.61,54.73,2.29,100.76,460.2,1496139,18.7,74.66,1,4.64,99,131.660232,981.9160257,0.90 ,5.5,52,906.8976904,59.76682502,640.0836105,,,,,,,,,,
Gaibandha,24.851,89.3697,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.48,460.2,2471680,18.7,74.66,1,4.1,99,217.50784,1622.163584,0.90 ,5.5,52,2166.583587,142.7832748,1529.163278,,,,,,,,,,
Gazipur,23.9608,91.1115,March,3,2022,1,17.99,11.76,25.38,70.2,0.31,100.2,460.2,3548115,18.7,74.66,1,4.04,99,312.23412,2328.627875,0.90 ,5.5,52,1817.13929,119.754022,1282.527335,,,,,,,,,,
Gopalganj,23.9608,91.1115,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.12,460.2,1218319,18.7,74.66,1,4.04,99,107.212072,799.5827597,0.90 ,5.5,52,1475.924938,97.26714322,1041.700043,,,,,,,,,,
Habiganj,23.9608,91.1115,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.15,460.2,2171065,18.7,74.66,1,5.25,99,191.05372,1424.86996,0.90 ,5.5,52,2582.433721,170.1888383,1822.668111,,,,,,,,,,
Jamalpur,23.2513,90.8518,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.14,460.2,2384811,18.7,74.66,1,4.39,99,209.863368,1565.151459,0.90 ,5.5,52,2065.6763,136.1332323,1457.943446,,,,,,,,,,
Jashore,23.2513,90.8518,March,3,2022,4,22.13,15.62,29.61,54.73,2.29,100.44,460.2,2876380,18.7,74.66,1,4.04,99,253.12144,1887.768194,0.90 ,5.5,52,2584.932745,170.3535302,1824.431909,,,,,,,,,,
Jhalokathi,23.2513,90.8518,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.89,460.2,709914,18.7,74.66,1,4.38,99,62.472432,465.9165582,0.90 ,5.5,52,738.7519126,48.68559791,521.4072067,,,,,,,,,,
Jhenaidah,24.68,88.25,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.15,460.2,1842573,18.7,74.66,1,4.04,99,162.146424,1209.28066,0.90 ,5.5,52,1956.105656,128.912253,1380.609064,,,,,,,,,,
Joypurhat,24.68,88.25,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.26,460.2,950440,18.7,74.66,1,4,99,83.63872,623.773772,0.90 ,5.5,52,960.2497231,63.28285736,677.739194,,,,,,,,,,
Khagrachhari,24.68,88.25,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,101.19,485.51,638967,18.2,73.69,1.2,4.64,99,56.229096,419.3540421,0.90 ,5.5,52,2855.544398,188.1875146,2015.428187,,,,,,,,,,
Khulna,22.515,91.7539,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.04,485.51,2407679,18.2,73.69,1.2,4.04,99,211.875752,1580.159728,0.90 ,5.5,52,3625.143171,238.9059978,2558.606946,,,,,,,,,,
Kishorganj,22.515,91.7539,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.64,485.51,3028706,18.2,73.69,1.2,4.04,99,266.526128,1987.739748,0.90 ,5.5,52,2564.920364,169.0346642,1810.307276,,,,,,,,,,
Kurigram,22.515,91.7539,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.51,485.51,2150974,18.2,73.69,1.2,4.1,99,189.285712,1411.684236,0.90 ,5.5,52,2275.723926,149.975896,1606.193954,,,,,,,,,,
Kushtia,23.6161,88.8263,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.11,485.51,2023657,18.2,73.69,1.2,4.04,99,178.081816,1328.126089,0.90 ,5.5,52,1614.728397,106.4146382,1139.666793,,,,,,,,,,
Lakshmipur,23.6161,88.8263,March,3,2022,2,22.13,15.62,29.61,54.73,2.29,100.18,485.51,1797761,18.2,73.69,1.2,4.64,99,158.202968,1179.870544,0.90 ,5.5,52,1243.732495,81.96508074,877.8198407,,,,,,,,,,
Lalmonirhat,23.6161,88.8263,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.11,485.51,1305248,18.2,73.69,1.2,4.1,99,114.861824,856.6342624,0.90 ,5.5,52,1274.913778,84.02000521,899.8274255,,,,,,,,,,
Madaripur,21.5641,92.0208,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.36,485.51,1212199,18.2,73.69,1.2,4.04,99,106.673512,795.5662037,0.90 ,5.5,52,1135.273595,74.81736807,801.2701204,,,,,,,,,,
Magura,21.5641,92.0208,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.93,485.51,954804,18.2,73.69,1.2,4.04,99,84.022752,626.6378652,0.90 ,5.5,52,1048.764435,69.11619818,740.2124115,,,,,,,,,,
Manikganj,21.5641,92.0208,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,101.28,485.51,1447301,18.2,73.69,1.2,4.04,99,127.362488,949.8636463,0.90 ,5.5,52,1374.276723,90.56827174,969.957269,,,,,,,,,,
Meherpur,23.4576,91.1809,March,3,2022,1,17.99,11.76,25.38,70.2,0.31,101.4,485.51,1994252,18.2,73.69,1.2,4.04,99,175.494176,1308.827588,0.90 ,5.5,52,2678.809912,176.5402702,1890.689918,,,,,,,,,,
Moulvibazar,23.4576,91.1809,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.19,485.51,681331,18.2,73.69,1.2,5.25,99,59.957128,447.1575353,0.90 ,5.5,52,722.524676,47.61618245,509.9541086,,,,,,,,,,
Munshiganj,23.4576,91.1809,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,101.04,485.51,1502449,18.2,73.69,1.2,4.04,99,132.215512,986.0572787,0.90 ,5.5,52,932.678817,61.46586572,658.2797938,,,,,,,,,,
Mymensingh,23.8105,90.3372,March,3,2022,2,17.99,11.76,25.38,70.2,0.31,100.64,485.51,5313163,18.2,73.69,1.2,4.39,99,467.558344,3487.028877,0.90 ,5.5,52,4348.480093,286.5757092,3069.134333,,,,,,,,,,
Naogaon,23.8105,90.3372,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.51,485.51,2701906,18.2,73.69,1.2,4,99,237.767728,1773.260908,0.90 ,5.5,52,3443.903078,226.9618225,2430.688643,,,,,,,,,,
Narail,23.8105,90.3372,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.11,485.51,750425,18.2,73.69,1.2,4.04,99,66.0374,492.5039275,0.90 ,5.5,52,995.7435635,65.62199017,702.7905595,,,,,,,,,,
Narayanganj,25.6279,88.6332,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.18,485.51,3074078,18.2,73.69,1.2,4.04,99,270.518864,2017.517391,0.90 ,5.5,52,703.5466906,46.36548576,496.5595465,,,,,,,,,,
Narsingdi,25.6279,88.6332,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.11,485.51,2314889,18.2,73.69,1.2,4.04,99,203.710232,1519.261651,0.90 ,5.5,52,1167.789178,76.96022627,824.2194475,,,,,,,,,,
Natore,25.6279,88.6332,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.36,485.51,1774832,18.2,73.69,1.2,4,99,156.185216,1164.822242,0.90 ,5.5,52,1904.364965,125.5024121,1344.090757,,,,,,,,,,
Netrokona,23.5424,89.6309,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.93,485.51,2317190,18.2,73.69,1.2,4.39,99,203.91272,1520.771797,0.90 ,5.5,52,2804.365101,184.814671,1979.306109,,,,,,,,,,
Nilphamari,23.5424,89.6309,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.28,485.51,1907497,18.2,73.69,1.2,4.1,99,167.859736,1251.890281,0.90 ,5.5,52,1587.900399,104.646606,1120.731734,,,,,,,,,,
Noakhali,23.5424,89.6309,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,101.4,485.51,3231832,18.2,73.69,1.2,4.64,99,284.401216,2121.051342,0.90 ,5.5,52,2678.48487,176.5188491,1890.460506,,,,,,,,,,
Pabna,22.9409,91.4067,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.36,460.2,2624683,18.7,74.66,1,4,99,230.972104,1722.579453,0.90 ,5.5,52,2389.393133,157.4669809,1686.421081,,,,,,,,,,
Panchagarh,22.9409,91.4067,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.43,485.51,1026139,18.2,73.69,1.2,4.1,99,90.300232,673.4550257,0.90 ,5.5,52,1363.120548,89.8330519,962.0832992,,,,,,,,,,
Patuakhali,22.9409,91.4067,March,3,2022,3,26.19,20.17,32.91,56.52,4.21,101.43,485.51,1596223,18.2,73.69,1.2,4.38,99,140.467624,1047.601155,0.90 ,5.5,52,2617.407817,172.4937186,1847.352643,,,,,,,,,,
Pirojpur,25.3297,89.543,March,3,2022,1,17.99,11.76,25.38,70.2,0.31,101.2,460.2,1157215,18.7,74.66,1,4.38,99,101.83492,759.4802045,0.90 ,5.5,52,1269.846388,83.68605154,896.2508884,,,,,,,,,,
Rajbari,25.3297,89.543,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.76,460.2,1091263,18.7,74.66,1,4.04,99,96.031144,716.1959069,0.90 ,5.5,52,1139.236341,75.07852297,804.067006,,,,,,,,,,
Rajshahi,25.3297,89.543,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.48,460.2,2699688,18.7,74.66,1,4,99,237.572544,1771.805234,0.90 ,5.5,52,2438.427587,160.698474,1721.02934,,,,,,,,,,
Rangamati,24.0958,90.4125,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.2,460.2,620215,18.7,74.66,1,4.64,99,54.57892,407.0471045,0.90 ,5.5,52,5762.959417,379.7934328,4067.466385,,,,,,,,,,
Rangpur,24.0958,90.4125,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.12,460.2,2996334,18.7,74.66,1,4.1,99,263.677392,1966.494004,0.90 ,5.5,52,2343.984755,154.4744553,1654.372087,,,,,,,,,,
Satkhira,24.0958,90.4125,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.15,460.2,1201464,18.7,74.66,1,4.04,99,105.728832,788.5208232,0.90 ,5.5,52,3390.40283,223.4360225,2392.92845,,,,,,,,,,
Shariatpur,23.0488,89.8879,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,100.14,460.2,2063610,18.7,74.66,1,4.04,99,181.59768,1354.347243,0.90 ,5.5,52,1186.196087,78.17328758,837.2109468,,,,,,,,,,
Sherpur,23.0488,89.8879,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,100.44,460.2,1412601,18.7,74.66,1,4.39,99,124.308888,927.0900363,0.90 ,5.5,52,1326.036532,87.38912251,935.9095959,,,,,,,,,,
Sirajganj,23.0488,89.8879,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,100.89,460.2,3220812,18.7,74.66,1,4,99,283.431456,2113.818916,0.90 ,5.5,52,2494.301919,164.3807322,1760.465149,,,,,,,,,,
Sunamganj,24.4771,91.4507,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.15,460.2,2564540,18.7,74.66,1,5.25,99,225.67952,1683.107602,0.90 ,5.5,52,3693.58372,243.416401,2606.911924,,,,,,,,,,
Sylhet,24.4771,91.4507,March,3,2022,0,22.13,15.62,29.61,54.73,2.29,101.26,460.2,3567139,18.7,74.66,1,5.25,99,313.908232,2341.113326,0.90 ,5.5,52,3417.924658,225.2497797,2412.353211,,,,,,,,,,
Tangail,24.4771,91.4507,March,3,2022,0,26.19,20.17,32.91,56.52,4.21,101.19,485.51,3749086,18.2,73.69,1.2,4.04,99,329.919568,2460.525142,0.90 ,5.5,52,3366.374057,221.8524662,2375.969068,,,,,,,,,,
Thakurgaon,25.0831,89.7853,March,3,2022,0,17.99,11.76,25.38,70.2,0.31,101.04,485.51,1444783,18.2,73.69,1.2,4.1,99,127.140904,948.2110829,0.90 ,5.5,52,1814.206041,119.5607136,1280.457063,,,,,,,,,,
Bagerhat,22.6602,89.7895,April,4,2022,0,18.99,9.65,29.57,68.06,1.9,101.36,460.2,1534012,18.7,74.66,1,4.04,99,134.993056,1006.772076,0.90 ,5.5,52,3646.18417,240.2926522,2573.457572,,,,,,,,,,
Bandarban,22.6602,89.7895,April,4,2022,0,26.19,20.17,32.91,56.52,4.21,101.43,485.51,404091,18.2,73.69,1.2,4.64,99,35.560008,265.2049233,0.90 ,5.5,52,4595.260113,302.8391295,3243.310371,,,,,,,,,,
Barguna,22.6602,89.7895,April,4,2022,4,29.33,23.1,35.9,61.44,3.52,101.43,485.51,927889,18.2,73.69,1.2,4.38,99,81.654232,608.9735507,0.90 ,5.5,52,1345.650521,88.68173341,949.7530459,,,,,,,,,,
Barishal,21.8311,92.3686,April,4,2022,4,18.99,9.65,29.57,68.06,1.9,101.2,460.2,2414729,18.7,74.66,1,4.38,99,212.496152,1584.786643,0.90 ,5.5,52,2219.580861,146.2759276,1566.568474,,,,,,,,,,
Bhola,21.8311,92.3686,April,4,2022,0,26.19,20.17,32.91,56.52,4.21,100.76,460.2,1846351,18.7,74.66,1,4.38,99,162.478888,1211.760161,0.90 ,5.5,52,1948.543739,128.4139037,1375.271902,,,,,,,,,,
Bogura,21.8311,92.3686,April,4,2022,0,29.33,23.1,35.9,61.44,3.52,100.48,460.2,3539293,18.7,74.66,1,4,99,311.457784,2322.837996,0.90 ,5.5,52,2912.594162,191.9472367,2055.69361,,,,,,,,,,
Brahmanbaria,23.7073,90.4155,April,4,2022,0,18.99,9.65,29.57,68.06,1.9,100.2,460.2,2953208,18.7,74.66,1,4.64,99,259.882304,1938.19041,0.90 ,5.5,52,1922.681908,126.7095444,1357.018758,,,,,,,,,,
Chandpur,23.7073,90.4155,April,4,2022,4,26.19,20.17,32.91,56.52,4.21,100.12,460.2,2513838,18.7,74.66,1,4.64,99,221.217744,1649.831879,0.90 ,5.5,52,1469.437035,96.83957418,1037.120915,,,,,,,,,,
Chapai Nawabganj,23.7073,90.4155,April,4,2022,1,29.33,23.1,35.9,61.44,3.52,100.15,460.2,1714249,18.7,74.66,1,4,99,150.853912,1125.061619,0.90 ,5.5,52,1685.473879,111.0769423,1189.598582,,,,,,,,,,
Chattogram,22.7004,90.375,April,4,2022,14,18.99,9.65,29.57,68.06,1.9,100.14,460.2,7913366,18.7,74.66,1,4.64,99,696.376208,5193.542106,0.90 ,5.5,52,4450.859261,293.3227523,3141.39301,,,,,,,,,,
Chuadanga,22.7004,90.375,April,4,2022,0,26.19,20.17,32.91,56.52,4.21,100.44,460.2,1174836,18.7,74.66,1,4.04,99,103.385568,771.0448668,0.90 ,5.5,52,1165.101675,76.78311311,822.322622,,,,,,,,,,
Cox's Bazar,22.7004,90.375,April,4,2022,43,29.33,23.1,35.9,61.44,3.52,100.89,460.2,5602624,18.7,74.66,1,4.64,99,493.030912,3677.002131,0.90 ,5.5,52,2172.97806,143.2046866,1533.676463,,,,,,,,,,
Cumilla,22.1785,90.7101,April,4,2022,1,18.99,9.65,29.57,68.06,1.9,101.15,460.2,2381814,18.7,74.66,1,4.64,99,209.599632,1563.184528,0.90 ,5.5,52,3088.030481,203.5089287,2179.515639,,,,,,,,,,
Dhaka,22.1785,90.7101,April,4,2022,99,26.19,20.17,32.91,56.52,4.21,101.26,460.2,12517360,18.7,74.66,1,4.04,99,1101.52768,8215.143368,0.90 ,5.5,52,1476.081489,97.27746032,1041.810536,,,,,,,,,,
Dinajpur,22.1785,90.7101,April,4,2022,2,29.33,23.1,35.9,61.44,3.52,101.19,485.51,3109626,18.2,73.69,1.2,4.1,99,273.647088,2040.847544,0.90 ,5.5,52,3460.164551,228.0334943,2442.165905,,,,,,,,,,
Faridpur,24.851,89.3697,April,4,2022,0,18.99,9.65,29.57,68.06,1.9,101.04,485.51,1988695,18.2,73.69,1.2,4.04,99,175.00516,1305.180529,0.90 ,5.5,52,2043.68922,134.6842288,1442.425082,,,,,,,,,,
Feni,24.851,89.3697,April,4,2022,2,26.19,20.17,32.91,56.52,4.21,100.64,485.51,1496139,18.2,73.69,1.2,4.64,99,131.660232,981.9160257,0.90 ,5.5,52,906.8976904,59.76682502,640.0836105,,,,,,,,,,
Gaibandha,24.851,89.3697,April,4,2022,0,29.33,23.1,35.9,61.44,3.52,100.51,485.51,2471680,18.2,73.69,1.2,4.1,99,217.50784,1622.163584,0.90 ,5.5,52,2166.583587,142.7832748,1529.163278,,,,,,,,,,
Gazipur,23.9608,91.1115,April,4,2022,1,18.99,9.65,29.57,68.06,1.9,100.11,485.51,3548115,18.2,73.69,1.2,4.04,99,312.23412,2328.627875,0.90 ,5.5,52,1817.13929,119.754022,1282.527335,,,,,,,,,,
Gopalganj,23.9608,91.1115,April,4,2022,0,26.19,20.17,32.91,56.52,4.21,100.18,485.51,1218319,18.2,73.69,1.2,4.04,99,107.212072,799.5827597,0.90 ,5.5,52,1475.924938,97.26714322,1041.700043,,,,,,,,,,
Habiganj,23.9608,91.1115,April,4,2022,0,29.33,23.1,35.9,61.44,3.52,100.11,485.51,2171065,18.2,73.69,1.2,5.25,99,191.05372,1424.86996,0.90 ,5.5,52,2582.433721,170.1888383,1822.668111,,,,,,,,,,
Jamalpur,23.2513,90.8518,April,4,2022,0,18.99,9.65,29.57,68.06,1.9,100.36,485.51,2384811,18.2,73.69,1.2,4.39,99,209.863368,1565.151459,0.90 ,5.5,52,2065.6763,136.1332323,1457.943446,,,,,,,,,,
Jashore,23.2513,90.8518,April,4,2022,4,26.19,20.17,32.91,56.52,4.21,100.93,485.51,2876380,18.2,73.69,1.2,4.04,99,253.12144,1887.768194,0.90 ,5.5,52,2584.932745,170.3535302,1824.431909,,,,,,,,,,
Jhalokathi,23.2513,90.8518,April,4,2022,0,29.33,23.1,35.9,61.44,3.52,101.28,485.51,709914,18.2,73.69,1.2,4.38,99,62.472432,465.9165582,0.90 ,5.5,52,738.7519126,48.68559791,521.4072067,,,,,,,,,,
Jhenaidah,24.68,88.25,April,4,2022,0,18.99,9.65,29.57,68.06,1.9,101.4,485.51,1842573,18.2,73.69,1.2,4.04,99,162.146424,1209.28066,0.90 ,5.5,52,1956.105656,128.912253,1380.609064,,,,,,,,,,
Joypurhat,24.68,88.25,April,4,2022,0,26.19,20.17,32.91,56.52,4.21,101.19,485.51,950440,18.2,73.69,1.2,4,99,83.63872,623.773772,0.90 ,5.5,52,960.2497231,63.28285736,677.739194,,,,,,,,,,
